# x, y, T_numerical, T_analytical
0.0300601, 0.0901804, 2.38819, 2.38819
0.0300601, 0.1002, 2.64518, 2.64518
0.0300601, 0.11022, 2.89955, 2.89955
0.0300601, 0.12024, 3.15104, 3.15104
0.0300601, 0.130261, 3.39942, 3.39942
0.0300601, 0.140281, 3.64442, 3.64442
0.0300601, 0.150301, 3.88582, 3.88582
0.0300601, 0.160321, 4.12336, 4.12336
0.0300601, 0.170341, 4.35682, 4.35682
0.0300601, 0.180361, 4.58597, 4.58597
0.0300601, 0.190381, 4.81056, 4.81056
0.0300601, 0.200401, 5.0304, 5.0304
0.0300601, 0.210421, 5.24524, 5.24524
0.0300601, 0.220441, 5.45489, 5.4549
0.0300601, 0.230461, 5.65914, 5.65914
0.0300601, 0.240481, 5.85778, 5.85778
0.0300601, 0.250501, 6.05061, 6.05061
0.0300601, 0.260521, 6.23745, 6.23745
0.0300601, 0.270541, 6.41811, 6.41811
0.0300601, 0.280561, 6.59241, 6.59241
0.0300601, 0.290581, 6.76018, 6.76018
0.0300601, 0.300601, 6.92125, 6.92125
0.0300601, 0.310621, 7.07546, 7.07546
0.0300601, 0.320641, 7.22266, 7.22266
0.0300601, 0.330661, 7.3627, 7.3627
0.0300601, 0.340681, 7.49545, 7.49545
0.0300601, 0.350701, 7.62077, 7.62077
0.0300601, 0.360721, 7.73854, 7.73854
0.0300601, 0.370741, 7.84865, 7.84865
0.0300601, 0.380762, 7.95097, 7.95097
0.0300601, 0.390782, 8.04542, 8.04542
0.0300601, 0.400802, 8.1319, 8.1319
0.0300601, 0.410822, 8.21032, 8.21032
0.0300601, 0.420842, 8.2806, 8.2806
0.0300601, 0.430862, 8.34268, 8.34268
0.0300601, 0.440882, 8.3965, 8.3965
0.0300601, 0.450902, 8.44199, 8.44199
0.0300601, 0.460922, 8.47912, 8.47912
0.0300601, 0.470942, 8.50785, 8.50785
0.0300601, 0.480962, 8.52815, 8.52815
0.0300601, 0.490982, 8.53999, 8.53999
0.0300601, 0.501002, 8.54338, 8.54338
0.0300601, 0.511022, 8.5383, 8.5383
0.0300601, 0.521042, 8.52476, 8.52476
0.0300601, 0.531062, 8.50278, 8.50278
0.0300601, 0.541082, 8.47237, 8.47237
0.0300601, 0.551102, 8.43356, 8.43356
0.0300601, 0.561122, 8.3864, 8.3864
0.0300601, 0.571142, 8.33093, 8.33093
0.0300601, 0.581162, 8.2672, 8.2672
0.0300601, 0.591182, 8.19528, 8.19528
0.0300601, 0.601202, 8.11525, 8.11525
0.0300601, 0.611222, 8.02717, 8.02717
0.0300601, 0.621242, 7.93114, 7.93114
0.0300601, 0.631263, 7.82725, 7.82725
0.0300601, 0.641283, 7.7156, 7.7156
0.0300601, 0.651303, 7.59631, 7.59631
0.0300601, 0.661323, 7.46949, 7.46949
0.0300601, 0.671343, 7.33527, 7.33527
0.0300601, 0.681363, 7.19379, 7.19379
0.0300601, 0.691383, 7.04517, 7.04517
0.0300601, 0.701403, 6.88958, 6.88958
0.0300601, 0.711423, 6.72715, 6.72715
0.0300601, 0.721443, 6.55807, 6.55807
0.0300601, 0.731463, 6.38248, 6.38248
0.0300601, 0.741483, 6.20057, 6.20057
0.0300601, 0.751503, 6.01252, 6.01252
0.0300601, 0.761523, 5.81851, 5.81851
0.0300601, 0.771543, 5.61873, 5.61873
0.0300601, 0.781563, 5.41339, 5.41339
0.0300601, 0.791583, 5.20268, 5.20268
0.0300601, 0.801603, 4.98682, 4.98682
0.0300601, 0.811623, 4.76602, 4.76602
0.0300601, 0.821643, 4.54049, 4.54049
0.0300601, 0.831663, 4.31047, 4.31047
0.0300601, 0.841683, 4.07617, 4.07618
0.0300601, 0.851703, 3.83784, 3.83784
0.0300601, 0.861723, 3.5957, 3.5957
0.0300601, 0.871743, 3.35, 3.35001
0.0300601, 0.881764, 3.10099, 3.10099
0.0300601, 0.891784, 2.8489, 2.8489
0.0300601, 0.901804, 2.59398, 2.59398
0.0300601, 0.911824, 2.3365, 2.3365
0.0300601, 0.921844, 2.0767, 2.0767
0.0300601, 0.931864, 1.81484, 1.81484
0.0300601, 0.941884, 1.55119, 1.55119
0.0300601, 0.951904, 1.28599, 1.28599
0.0300601, 0.961924, 1.01953, 1.01953
0.0300601, 0.971944, 0.75205, 0.75205
0.0300601, 0.981964, 0.483828, 0.483828
0.0300601, 0.991984, 0.215127, 0.215127
0.0400802, 0, 0, 0
0.0400802, 0.01002, 0.358109, 0.358109
0.0400802, 0.0200401, 0.715864, 0.715864
0.0400802, 0.0300601, 1.07291, 1.07291
